id,open,close,low,high,amount,vol,count
1642487400,3198.05,3193.2,3191.68,3198.39,195.92293333492296,626019.1544383826,646
1642487100,3194.94,3198.04,3194.73,3199.09,248.51925042642702,794578.0000219368,818
1642486800,3186.77,3194.94,3186.77,3195.68,239.39948749225167,764350.28032545,1120
1642486500,3185.75,3186.76,3183.1,3187.37,95.94327701476001,305544.6152318791,383
1642486200,3184.72,3185.74,3183.18,3188.42,154.2781489269613,491567.59317263786,577
1642485900,3183.24,3184.71,3182.93,3185.72,105.4748553983475,335851.75403845275,572
1642485600,3174.02,3183.23,3174.01,3183.94,108.827632881651,346120.0048842333,635
1642485300,3180.3,3173.94,3173.94,3180.31,78.06224637718405,247984.63810529,497
1642485000,3177.59,3180.3,3175.24,3180.5,65.73597740315215,208885.0851635385,405
1642484700,3171.89,3177.59,3171.72,3180.47,54.830509683867724,174220.0822095698,445
